time,open,high,low,close,volume,open_interest
2026-06-05 09:15:00,497.4,497.58,496.89,497.54,23054,0
2026-06-05 09:20:00,497.54,498.31,497.37,497.96,23184,0
2026-06-05 09:25:00,497.96,499.6,497.66,499.34,16279,0
2026-06-05 09:30:00,499.34,499.72,499.25,499.51,20582,0
2026-06-05 09:35:00,499.51,500.07,499.15,499.74,37728,0
2026-06-05 09:40:00,499.74,500.21,499.31,499.78,36717,0
2026-06-05 09:45:00,499.78,500.83,499.78,500.66,3097,0
2026-06-05 09:50:00,500.66,500.72,500.1,500.19,15775,0
2026-06-05 09:55:00,500.19,501.3,500.12,501.2,2440,0
2026-06-05 10:00:00,501.2,501.28,500.92,501.01,8207,0
2026-06-05 10:05:00,501.01,501.16,500.93,501.14,27096,0
2026-06-05 10:10:00,501.14,501.19,500.65,500.7,14391,0
2026-06-05 10:15:00,500.7,501.34,500.61,501.07,5880,0
2026-06-05 10:20:00,501.07,501.33,500.94,501.22,1863,0
2026-06-05 10:25:00,501.22,501.57,501.16,501.36,1753,0
2026-06-05 10:30:00,501.36,502.26,501.26,501.88,1887,0
2026-06-05 10:35:00,501.88,502.14,501.81,502.04,8925,0
2026-06-05 10:40:00,502.04,502.2,501.82,502.16,12086,0
2026-06-05 10:45:00,502.16,502.25,501.35,501.47,7564,0
2026-06-05 10:50:00,501.47,501.56,501.22,501.39,4452,0
2026-06-05 10:55:00,501.39,501.5,501.25,501.4,7604,0
2026-06-05 11:00:00,501.4,501.4,501.26,501.27,8049,0
2026-06-05 11:05:00,501.27,501.28,500.87,500.88,9161,0
2026-06-05 11:10:00,500.88,500.94,500.76,500.78,11339,0
2026-06-05 11:15:00,500.78,501.1,500.67,500.91,16899,0
2026-06-05 11:20:00,500.91,501.14,500.83,500.94,13026,0
2026-06-05 11:25:00,500.94,501.16,500.91,500.98,3097,0
2026-06-05 11:30:00,500.98,501.15,500.75,500.84,2815,0
2026-06-05 11:35:00,500.84,500.93,500.71,500.86,7920,0
2026-06-05 11:40:00,500.86,501.03,500.77,500.98,5861,0
2026-06-05 11:45:00,500.98,501.31,500.86,501.17,11500,0
2026-06-05 11:50:00,501.17,501.17,500.27,500.28,8309,0
2026-06-05 11:55:00,500.28,500.41,500.15,500.41,11384,0
2026-06-05 12:00:00,500.41,500.87,500.31,500.81,4583,0
2026-06-05 12:05:00,500.81,501.25,500.54,501.06,5543,0
2026-06-05 12:10:00,501.06,501.55,500.94,501.45,10749,0
2026-06-05 12:15:00,501.45,501.47,501.29,501.32,11331,0
2026-06-05 12:20:00,501.32,501.47,500.59,500.65,3927,0
2026-06-05 12:25:00,500.65,501.14,500.44,501.07,6087,0
2026-06-05 12:30:00,501.07,501.35,500.82,500.9,10726,0
2026-06-05 12:35:00,500.9,501.04,500.22,500.49,13228,0
2026-06-05 12:40:00,500.49,500.5,500.0,500.22,10870,0
2026-06-05 12:45:00,500.22,500.6,499.93,500.39,10756,0
2026-06-05 12:50:00,500.39,500.48,499.97,500.15,9034,0
2026-06-05 12:55:00,500.15,500.47,499.41,499.63,9518,0
2026-06-05 13:00:00,499.63,500.15,499.41,500.01,5576,0
2026-06-05 13:05:00,500.01,500.32,499.86,500.18,8982,0
2026-06-05 13:10:00,500.18,500.26,500.11,500.18,7097,0
2026-06-05 13:15:00,500.18,500.33,500.0,500.23,12637,0
2026-06-05 13:20:00,500.23,500.83,500.2,500.83,12540,0
2026-06-05 13:25:00,500.83,500.96,500.23,500.5,23348,0
2026-06-05 13:30:00,500.5,500.61,500.32,500.34,8089,0
2026-06-05 13:35:00,500.34,500.44,500.03,500.15,10179,0
2026-06-05 13:40:00,500.15,500.3,499.99,500.11,3742,0
2026-06-05 13:45:00,500.11,500.37,499.87,499.89,3623,0
2026-06-05 13:50:00,499.89,500.23,499.87,500.09,10394,0
2026-06-05 13:55:00,500.09,500.4,500.08,500.31,2257,0
2026-06-05 14:00:00,500.31,500.99,500.17,500.93,3664,0
2026-06-05 14:05:00,500.93,501.27,500.31,500.33,14156,0
2026-06-05 14:10:00,500.33,500.59,499.87,499.88,5250,0
2026-06-05 14:15:00,499.88,500.41,499.63,500.37,1764,0
2026-06-05 14:20:00,500.37,500.41,500.06,500.24,1857,0
2026-06-05 14:25:00,500.24,500.37,500.09,500.13,5769,0
2026-06-05 14:30:00,500.13,500.27,500.04,500.05,9739,0
2026-06-05 14:35:00,500.05,500.44,500.02,500.23,35931,0
2026-06-05 14:40:00,500.23,500.61,498.94,499.24,5727,0
2026-06-05 14:45:00,499.24,499.88,499.19,499.76,4239,0
2026-06-05 14:50:00,499.76,500.01,499.59,499.76,6230,0
2026-06-05 14:55:00,499.76,500.46,499.67,500.22,24035,0
2026-06-05 15:00:00,500.22,500.3,499.96,500.02,11449,0
2026-06-05 15:05:00,500.02,500.45,499.76,499.9,13279,0
2026-06-05 15:10:00,499.9,501.81,499.64,501.08,13142,0
2026-06-05 15:15:00,501.08,501.31,500.59,500.76,5490,0
2026-06-05 15:20:00,500.76,503.02,500.02,502.86,45721,0
2026-06-05 15:25:00,502.86,503.08,501.76,502.13,36003,0
2026-06-05 15:30:00,502.13,502.86,501.59,502.62,6403,0
2026-06-08 09:15:00,501.14,502.51,500.82,502.39,12980,0
2026-06-08 09:20:00,502.39,503.21,502.38,503.09,9279,0
2026-06-08 09:25:00,503.09,503.13,501.59,502.06,37214,0
2026-06-08 09:30:00,502.06,502.31,501.77,501.95,15268,0
2026-06-08 09:35:00,501.95,502.45,501.27,501.48,8147,0
2026-06-08 09:40:00,501.48,503.76,501.3,503.56,24426,0
2026-06-08 09:45:00,503.56,503.9,503.17,503.85,13888,0
2026-06-08 09:50:00,503.85,503.87,503.38,503.38,26030,0
2026-06-08 09:55:00,503.38,504.12,503.25,504.0,10141,0
2026-06-08 10:00:00,504.0,504.26,503.71,503.9,7116,0
2026-06-08 10:05:00,503.9,504.29,503.76,504.11,6262,0
2026-06-08 10:10:00,504.11,504.24,503.78,503.86,2718,0
2026-06-08 10:15:00,503.86,504.85,503.77,504.64,2610,0
2026-06-08 10:20:00,504.64,504.72,504.33,504.4,14219,0
2026-06-08 10:25:00,504.4,504.45,504.29,504.42,9860,0
2026-06-08 10:30:00,504.42,504.67,504.33,504.43,6415,0
2026-06-08 10:35:00,504.43,504.49,504.1,504.48,9214,0
2026-06-08 10:40:00,504.48,504.85,504.25,504.7,5719,0
2026-06-08 10:45:00,504.7,505.32,504.53,505.22,4649,0
2026-06-08 10:50:00,505.22,505.36,505.02,505.27,3133,0
2026-06-08 10:55:00,505.27,505.48,504.96,504.98,9963,0
2026-06-08 11:00:00,504.98,505.1,504.73,504.92,3203,0
2026-06-08 11:05:00,504.92,505.08,504.66,505.05,802,0
2026-06-08 11:10:00,505.05,506.25,505.01,506.04,9835,0
2026-06-08 11:15:00,506.04,506.47,505.96,506.44,2041,0
2026-06-08 11:20:00,506.44,506.45,506.3,506.39,1770,0
2026-06-08 11:25:00,506.39,506.85,506.2,506.82,8259,0
2026-06-08 11:30:00,506.82,507.03,506.15,506.33,4428,0
2026-06-08 11:35:00,506.33,506.58,505.93,506.04,8475,0
2026-06-08 11:40:00,506.04,506.16,505.9,506.13,1488,0
2026-06-08 11:45:00,506.13,506.83,505.93,506.69,23669,0
2026-06-08 11:50:00,506.69,507.04,506.6,506.77,6322,0
2026-06-08 11:55:00,506.77,506.77,506.64,506.69,17446,0
2026-06-08 12:00:00,506.69,507.16,506.53,506.98,7042,0
