time,open,high,low,close,volume,open_interest
2026-06-05 09:15:00,497.45,498.13,496.57,496.84,13964,0
2026-06-05 09:30:00,496.84,496.97,496.3,496.52,12303,0
2026-06-05 09:45:00,496.52,497.53,496.39,497.43,3791,0
2026-06-05 10:00:00,497.43,497.55,497.3,497.5,26079,0
2026-06-05 10:15:00,497.5,497.6,496.93,497.05,25998,0
2026-06-05 10:30:00,497.05,497.08,496.96,497.03,11676,0
2026-06-05 10:45:00,497.03,497.04,496.85,496.95,21105,0
2026-06-05 11:00:00,496.95,497.07,496.42,496.66,11803,0
2026-06-05 11:15:00,496.66,497.49,496.54,497.4,5307,0
2026-06-05 11:30:00,497.4,497.46,496.88,496.94,4847,0
2026-06-05 11:45:00,496.94,497.32,496.93,497.26,4923,0
2026-06-05 12:00:00,497.26,497.34,496.81,496.98,17392,0
2026-06-05 12:15:00,496.98,497.0,496.72,496.76,5134,0
2026-06-05 12:30:00,496.76,496.87,496.08,496.15,6205,0
2026-06-05 12:45:00,496.15,496.27,496.06,496.17,7548,0
2026-06-05 13:00:00,496.17,496.21,496.16,496.17,21412,0
2026-06-05 13:15:00,496.17,496.23,495.9,496.17,7976,0
2026-06-05 13:30:00,496.17,496.49,495.9,496.33,12309,0
2026-06-05 13:45:00,496.33,496.93,496.19,496.88,10614,0
2026-06-05 14:00:00,496.88,497.15,496.84,496.97,5125,0
2026-06-05 14:15:00,496.97,497.02,496.45,496.56,29229,0
2026-06-05 14:30:00,496.56,496.63,496.07,496.24,7338,0
2026-06-05 14:45:00,496.24,496.3,495.77,496.17,14426,0
2026-06-05 15:00:00,496.17,496.23,495.8,495.92,4176,0
2026-06-05 15:15:00,495.92,496.78,495.75,496.42,21061,0
2026-06-05 15:30:00,496.42,496.94,496.16,496.25,26861,0
2026-06-08 09:15:00,494.95,495.71,494.55,495.32,11693,0
2026-06-08 09:30:00,495.32,495.58,494.61,495.04,41761,0
2026-06-08 09:45:00,495.04,495.23,494.73,494.79,2952,0
2026-06-08 10:00:00,494.79,494.85,494.5,494.78,9563,0
2026-06-08 10:15:00,494.78,494.84,494.4,494.45,9670,0
2026-06-08 10:30:00,494.45,494.63,494.27,494.27,4892,0
2026-06-08 10:45:00,494.27,494.64,494.18,494.61,28035,0
2026-06-08 11:00:00,494.61,494.61,493.97,494.12,12320,0
2026-06-08 11:15:00,494.12,494.18,493.23,493.47,9403,0
2026-06-08 11:30:00,493.47,493.61,492.47,492.55,9641,0
2026-06-08 11:45:00,492.55,492.84,492.39,492.51,5902,0
2026-06-08 12:00:00,492.51,492.98,492.21,492.85,5987,0
2026-06-08 12:15:00,492.85,492.91,491.95,492.21,10616,0
2026-06-08 12:30:00,492.21,492.7,492.14,492.34,19222,0
2026-06-08 12:45:00,492.34,492.68,492.29,492.52,16282,0
2026-06-08 13:00:00,492.52,492.64,491.83,492.08,9117,0
2026-06-08 13:15:00,492.08,492.42,491.98,492.3,3257,0
2026-06-08 13:30:00,492.3,492.49,492.13,492.36,2051,0
2026-06-08 13:45:00,492.36,492.78,492.31,492.68,11641,0
2026-06-08 14:00:00,492.68,492.7,492.44,492.54,18759,0
2026-06-08 14:15:00,492.54,492.73,492.25,492.72,14740,0
2026-06-08 14:30:00,492.72,492.73,492.25,492.38,4378,0
2026-06-08 14:45:00,492.38,492.88,492.29,492.72,5305,0
2026-06-08 15:00:00,492.72,492.92,492.61,492.91,3998,0
2026-06-08 15:15:00,492.91,493.01,492.47,492.83,18536,0
2026-06-08 15:30:00,492.83,494.71,492.82,494.66,10549,0
2026-06-09 09:15:00,491.9,492.99,491.53,492.3,30701,0
2026-06-09 09:30:00,492.3,492.77,491.85,491.97,9333,0
2026-06-09 09:45:00,491.97,492.02,491.66,491.73,7709,0
2026-06-09 10:00:00,491.73,492.04,491.57,491.88,9188,0
2026-06-09 10:15:00,491.88,491.92,491.82,491.83,13348,0
2026-06-09 10:30:00,491.83,492.23,491.44,491.77,3074,0
2026-06-09 10:45:00,491.77,491.82,490.95,491.05,2954,0
2026-06-09 11:00:00,491.05,491.57,490.79,491.42,10685,0
2026-06-09 11:15:00,491.42,491.57,491.22,491.56,18803,0
2026-06-09 11:30:00,491.56,491.58,491.24,491.26,3358,0
2026-06-09 11:45:00,491.26,491.69,491.11,491.39,2362,0
2026-06-09 12:00:00,491.39,491.51,491.29,491.33,3597,0
2026-06-09 12:15:00,491.33,491.5,490.94,491.23,9887,0
2026-06-09 12:30:00,491.23,491.61,491.17,491.55,4795,0
2026-06-09 12:45:00,491.55,491.6,491.17,491.26,1648,0
2026-06-09 13:00:00,491.26,491.56,491.24,491.38,5898,0
2026-06-09 13:15:00,491.38,491.42,491.29,491.3,8967,0
2026-06-09 13:30:00,491.3,491.71,491.22,491.56,28359,0
2026-06-09 13:45:00,491.56,491.75,490.73,490.86,15927,0
2026-06-09 14:00:00,490.86,491.07,490.62,491.02,7365,0
2026-06-09 14:15:00,491.02,491.19,490.72,490.84,6237,0
2026-06-09 14:30:00,490.84,491.2,490.51,491.12,23745,0
2026-06-09 14:45:00,491.12,491.2,491.1,491.18,3225,0
2026-06-09 15:00:00,491.18,491.5,491.04,491.29,28639,0
2026-06-09 15:15:00,491.29,491.57,490.28,490.34,19306,0
2026-06-09 15:30:00,490.34,491.47,490.32,491.22,23836,0
2026-06-10 09:15:00,495.45,495.67,494.97,495.24,30199,0
2026-06-10 09:30:00,495.24,496.41,495.18,496.23,17383,0
2026-06-10 09:45:00,496.23,496.36,495.95,496.06,20243,0
2026-06-10 10:00:00,496.06,496.07,496.03,496.06,10499,0
2026-06-10 10:15:00,496.06,496.15,496.06,496.14,10453,0
2026-06-10 10:30:00,496.14,496.33,495.99,496.27,56688,0
2026-06-10 10:45:00,496.27,496.54,496.11,496.35,4881,0
2026-06-10 11:00:00,496.35,496.37,496.21,496.21,6459,0
2026-06-10 11:15:00,496.21,496.25,495.85,496.02,19592,0
2026-06-10 11:30:00,496.02,496.4,495.89,496.27,3856,0
2026-06-10 11:45:00,496.27,496.78,496.26,496.69,2463,0
2026-06-10 12:00:00,496.69,496.73,495.53,495.6,25496,0
2026-06-10 12:15:00,495.6,496.31,495.59,496.17,9476,0
2026-06-10 12:30:00,496.17,496.46,495.68,496.32,13776,0
2026-06-10 12:45:00,496.32,496.44,496.17,496.42,2047,0
2026-06-10 13:00:00,496.42,496.63,496.28,496.59,16691,0
2026-06-10 13:15:00,496.59,496.72,496.21,496.31,19288,0
2026-06-10 13:30:00,496.31,496.8,496.04,496.51,37396,0
2026-06-10 13:45:00,496.51,497.02,496.43,496.78,6629,0
2026-06-10 14:00:00,496.78,496.85,496.67,496.76,9803,0
2026-06-10 14:15:00,496.76,497.01,496.72,496.94,8744,0
2026-06-10 14:30:00,496.94,497.16,496.94,496.97,7401,0
2026-06-10 14:45:00,496.97,497.28,496.5,496.73,2985,0
2026-06-10 15:00:00,496.73,496.75,496.3,496.31,2784,0
2026-06-10 15:15:00,496.31,497.44,496.23,497.05,10994,0
2026-06-10 15:30:00,497.05,497.59,496.64,496.65,21315,0
2026-06-11 09:15:00,497.12,497.81,496.43,497.73,13858,0
2026-06-11 09:30:00,497.73,497.89,496.94,497.26,20463,0
2026-06-11 09:45:00,497.26,497.69,497.26,497.66,3831,0
2026-06-11 10:00:00,497.66,497.88,497.65,497.68,12602,0
2026-06-11 10:15:00,497.68,497.74,497.43,497.56,7890,0
2026-06-11 10:30:00,497.56,497.58,497.05,497.05,43382,0
2026-06-11 10:45:00,497.05,497.74,496.85,497.52,4268,0
2026-06-11 11:00:00,497.52,497.72,497.0,497.22,8061,0
2026-06-11 11:15:00,497.22,497.22,496.72,496.96,7331,0
2026-06-11 11:30:00,496.96,497.05,496.5,496.65,3409,0
2026-06-11 11:45:00,496.65,496.76,495.62,495.65,15744,0
2026-06-11 12:00:00,495.65,495.92,495.41,495.43,12420,0
2026-06-11 12:15:00,495.43,495.47,495.34,495.37,5866,0
2026-06-11 12:30:00,495.37,495.7,495.32,495.48,12172,0
2026-06-11 12:45:00,495.48,495.54,494.5,494.51,21527,0
2026-06-11 13:00:00,494.51,494.67,493.92,494.1,4800,0
2026-06-11 13:15:00,494.1,494.32,494.08,494.19,9857,0
2026-06-11 13:30:00,494.19,494.4,494.01,494.33,8826,0
2026-06-11 13:45:00,494.33,494.78,494.17,494.65,9285,0
2026-06-11 14:00:00,494.65,494.89,494.6,494.87,1336,0
2026-06-11 14:15:00,494.87,495.69,494.67,495.6,6963,0
2026-06-11 14:30:00,495.6,495.91,495.47,495.75,19989,0
2026-06-11 14:45:00,495.75,495.95,495.42,495.54,25986,0
2026-06-11 15:00:00,495.54,495.68,495.52,495.63,6628,0
2026-06-11 15:15:00,495.63,497.27,494.88,496.91,10660,0
2026-06-11 15:30:00,496.91,498.98,496.66,498.54,6215,0
2026-06-12 09:15:00,495.05,495.47,493.52,493.91,9229,0
2026-06-12 09:30:00,493.91,495.32,493.91,495.06,12631,0
2026-06-12 09:45:00,495.06,495.62,494.9,495.37,24833,0
2026-06-12 10:00:00,495.37,495.38,495.25,495.34,4060,0
2026-06-12 10:15:00,495.34,495.37,494.8,494.95,37497,0
2026-06-12 10:30:00,494.95,495.18,494.65,494.73,14898,0
2026-06-12 10:45:00,494.73,494.82,494.42,494.54,8015,0
2026-06-12 11:00:00,494.54,495.13,494.46,494.79,1505,0
2026-06-12 11:15:00,494.79,494.99,494.75,494.98,7526,0
2026-06-12 11:30:00,494.98,495.02,494.68,494.98,21084,0
2026-06-12 11:45:00,494.98,494.99,494.59,494.64,2654,0
2026-06-12 12:00:00,494.64,494.69,494.28,494.31,18468,0
2026-06-12 12:15:00,494.31,494.91,494.2,494.71,4641,0
2026-06-12 12:30:00,494.71,495.05,494.5,494.72,23455,0
2026-06-12 12:45:00,494.72,494.77,494.62,494.69,4532,0
2026-06-12 13:00:00,494.69,495.23,494.5,495.21,22232,0
2026-06-12 13:15:00,495.21,495.43,495.17,495.33,8707,0
2026-06-12 13:30:00,495.33,495.38,495.11,495.15,4061,0
2026-06-12 13:45:00,495.15,495.24,494.75,495.01,8420,0
2026-06-12 14:00:00,495.01,495.43,494.92,495.35,30706,0
