time,open,high,low,close,volume,open_interest
2026-06-05 09:15:00,498.53,499.1,498.21,498.44,15137,0
2026-06-05 09:20:00,498.44,499.6,498.23,499.5,15981,0
2026-06-05 09:25:00,499.5,500.43,498.98,499.7,9495,0
2026-06-05 09:30:00,499.7,499.72,499.25,499.37,6101,0
2026-06-05 09:35:00,499.37,499.78,499.13,499.23,50456,0
2026-06-05 09:40:00,499.23,500.64,499.14,500.28,8203,0
2026-06-05 09:45:00,500.28,501.11,500.26,500.91,11440,0
2026-06-05 09:50:00,500.91,500.93,500.62,500.71,7987,0
2026-06-05 09:55:00,500.71,500.87,500.44,500.48,17522,0
2026-06-05 10:00:00,500.48,500.74,499.23,499.41,7789,0
2026-06-05 10:05:00,499.41,499.43,499.01,499.07,3674,0
2026-06-05 10:10:00,499.07,499.15,498.84,499.02,3198,0
2026-06-05 10:15:00,499.02,499.11,498.75,498.95,12248,0
2026-06-05 10:20:00,498.95,499.14,498.51,498.52,3912,0
2026-06-05 10:25:00,498.52,498.59,498.3,498.34,5349,0
2026-06-05 10:30:00,498.34,498.6,498.25,498.38,32573,0
2026-06-05 10:35:00,498.38,498.62,497.53,497.75,2776,0
2026-06-05 10:40:00,497.75,498.19,497.34,497.48,5026,0
2026-06-05 10:45:00,497.48,497.77,497.47,497.65,2376,0
2026-06-05 10:50:00,497.65,498.02,497.28,497.91,6301,0
2026-06-05 10:55:00,497.91,498.15,497.76,497.9,5556,0
2026-06-05 11:00:00,497.9,498.5,497.88,498.46,13924,0
2026-06-05 11:05:00,498.46,498.53,498.3,498.32,9361,0
2026-06-05 11:10:00,498.32,498.43,498.07,498.13,6267,0
2026-06-05 11:15:00,498.13,498.29,498.12,498.25,24912,0
2026-06-05 11:20:00,498.25,498.45,498.24,498.39,4871,0
2026-06-05 11:25:00,498.39,499.24,498.3,499.24,1832,0
2026-06-05 11:30:00,499.24,499.25,498.73,499.11,10660,0
2026-06-05 11:35:00,499.11,499.28,498.85,498.86,15130,0
2026-06-05 11:40:00,498.86,499.44,498.56,499.19,3998,0
2026-06-05 11:45:00,499.19,499.43,498.99,499.0,5958,0
2026-06-05 11:50:00,499.0,499.08,498.6,498.96,9768,0
2026-06-05 11:55:00,498.96,499.35,498.9,499.33,4545,0
2026-06-05 12:00:00,499.33,499.47,499.01,499.17,11814,0
2026-06-05 12:05:00,499.17,499.34,499.12,499.28,4134,0
2026-06-05 12:10:00,499.28,499.46,498.99,499.31,9256,0
2026-06-05 12:15:00,499.31,499.93,499.27,499.72,11169,0
2026-06-05 12:20:00,499.72,499.77,499.19,499.4,19074,0
2026-06-05 12:25:00,499.4,499.85,498.9,499.14,43104,0
2026-06-05 12:30:00,499.14,499.25,498.54,498.72,15162,0
2026-06-05 12:35:00,498.72,499.16,498.69,499.12,7172,0
2026-06-05 12:40:00,499.12,499.29,498.75,499.25,8182,0
2026-06-05 12:45:00,499.25,499.9,499.15,499.74,1083,0
2026-06-05 12:50:00,499.74,500.1,499.65,500.04,4541,0
2026-06-05 12:55:00,500.04,500.34,499.94,500.2,11762,0
2026-06-05 13:00:00,500.2,501.1,500.09,501.1,4487,0
2026-06-05 13:05:00,501.1,501.27,500.72,500.93,6514,0
2026-06-05 13:10:00,500.93,501.12,500.79,500.95,5992,0
2026-06-05 13:15:00,500.95,501.62,500.93,501.41,4085,0
2026-06-05 13:20:00,501.41,501.45,501.26,501.3,9941,0
2026-06-05 13:25:00,501.3,501.87,501.18,501.82,20607,0
2026-06-05 13:30:00,501.82,502.41,501.62,502.34,11973,0
2026-06-05 13:35:00,502.34,502.85,502.31,502.76,2818,0
2026-06-05 13:40:00,502.76,502.91,502.26,502.62,10361,0
2026-06-05 13:45:00,502.62,502.69,502.15,502.24,6922,0
2026-06-05 13:50:00,502.24,502.46,502.0,502.26,12920,0
2026-06-05 13:55:00,502.26,502.43,501.9,502.07,17551,0
2026-06-05 14:00:00,502.07,502.31,501.44,501.55,3139,0
2026-06-05 14:05:00,501.55,502.37,501.4,502.15,2378,0
2026-06-05 14:10:00,502.15,502.72,502.0,502.51,12447,0
2026-06-05 14:15:00,502.51,502.63,502.34,502.55,4602,0
2026-06-05 14:20:00,502.55,502.84,502.5,502.74,14925,0
2026-06-05 14:25:00,502.74,502.8,502.44,502.64,8213,0
2026-06-05 14:30:00,502.64,502.7,501.54,501.67,5386,0
2026-06-05 14:35:00,501.67,501.82,501.21,501.24,1304,0
2026-06-05 14:40:00,501.24,501.44,501.22,501.36,2554,0
2026-06-05 14:45:00,501.36,501.75,501.26,501.64,44374,0
2026-06-05 14:50:00,501.64,502.49,501.56,502.32,7110,0
2026-06-05 14:55:00,502.32,503.03,502.29,503.01,22469,0
2026-06-05 15:00:00,503.01,503.08,503.0,503.06,6722,0
2026-06-05 15:05:00,503.06,503.38,503.01,503.32,29392,0
2026-06-05 15:10:00,503.32,503.97,503.21,503.72,34734,0
2026-06-05 15:15:00,503.72,504.84,503.56,504.53,3912,0
2026-06-05 15:20:00,504.53,505.65,504.48,505.35,18703,0
2026-06-05 15:25:00,505.35,506.6,504.89,506.19,10968,0
2026-06-05 15:30:00,506.19,506.68,506.17,506.66,13912,0
2026-06-08 09:15:00,508.18,508.88,507.54,507.54,12054,0
2026-06-08 09:20:00,507.54,507.87,505.33,505.44,6663,0
2026-06-08 09:25:00,505.44,505.99,504.93,505.81,7408,0
2026-06-08 09:30:00,505.81,506.07,504.67,505.02,122780,0
2026-06-08 09:35:00,505.02,505.06,504.44,504.56,7857,0
2026-06-08 09:40:00,504.56,504.7,503.39,503.77,16930,0
2026-06-08 09:45:00,503.77,503.92,503.53,503.54,14409,0
2026-06-08 09:50:00,503.54,503.59,503.17,503.23,1143,0
2026-06-08 09:55:00,503.23,503.37,502.92,503.34,9218,0
2026-06-08 10:00:00,503.34,503.83,503.09,503.68,19397,0
2026-06-08 10:05:00,503.68,503.84,503.32,503.47,10105,0
2026-06-08 10:10:00,503.47,503.72,503.44,503.7,5820,0
2026-06-08 10:15:00,503.7,504.52,503.64,504.35,23434,0
2026-06-08 10:20:00,504.35,504.65,504.23,504.44,9320,0
2026-06-08 10:25:00,504.44,504.98,504.25,504.78,10243,0
2026-06-08 10:30:00,504.78,504.93,504.39,504.55,36725,0
2026-06-08 10:35:00,504.55,504.63,504.47,504.47,7355,0
2026-06-08 10:40:00,504.47,504.63,504.1,504.35,14859,0
2026-06-08 10:45:00,504.35,504.86,504.22,504.74,72434,0
2026-06-08 10:50:00,504.74,504.84,504.59,504.75,10863,0
2026-06-08 10:55:00,504.75,505.01,504.33,504.51,14163,0
2026-06-08 11:00:00,504.51,504.55,504.23,504.27,1449,0
2026-06-08 11:05:00,504.27,504.37,503.98,504.26,34074,0
2026-06-08 11:10:00,504.26,504.43,503.99,504.24,26992,0
2026-06-08 11:15:00,504.24,504.32,503.8,503.8,17233,0
2026-06-08 11:20:00,503.8,503.82,503.67,503.69,3796,0
2026-06-08 11:25:00,503.69,503.7,503.41,503.59,5924,0
2026-06-08 11:30:00,503.59,504.13,503.39,504.09,18799,0
2026-06-08 11:35:00,504.09,504.65,503.96,504.44,16809,0
2026-06-08 11:40:00,504.44,504.46,504.19,504.21,4612,0
2026-06-08 11:45:00,504.21,504.81,504.15,504.79,3122,0
2026-06-08 11:50:00,504.79,505.2,504.71,505.09,2340,0
2026-06-08 11:55:00,505.09,505.21,504.28,504.32,10162,0
2026-06-08 12:00:00,504.32,504.51,504.06,504.16,8105,0
2026-06-08 12:05:00,504.16,504.16,503.94,504.0,5754,0
2026-06-08 12:10:00,504.0,504.05,503.64,503.66,11288,0
2026-06-08 12:15:00,503.66,504.33,503.64,504.17,13869,0
2026-06-08 12:20:00,504.17,504.19,503.59,503.65,7834,0
2026-06-08 12:25:00,503.65,503.88,503.37,503.39,1782,0
2026-06-08 12:30:00,503.39,503.56,503.28,503.46,8159,0
2026-06-08 12:35:00,503.46,503.47,503.06,503.18,14092,0
2026-06-08 12:40:00,503.18,503.37,503.03,503.14,5033,0
2026-06-08 12:45:00,503.14,503.72,502.88,503.61,3522,0
2026-06-08 12:50:00,503.61,504.1,503.48,503.97,30859,0
2026-06-08 12:55:00,503.97,504.42,503.66,504.26,62777,0
2026-06-08 13:00:00,504.26,504.45,504.24,504.41,4436,0
2026-06-08 13:05:00,504.41,504.44,504.29,504.39,3980,0
2026-06-08 13:10:00,504.39,504.4,503.62,503.67,15479,0
2026-06-08 13:15:00,503.67,504.77,503.6,504.5,9247,0
2026-06-08 13:20:00,504.5,504.7,504.45,504.53,6680,0
2026-06-08 13:25:00,504.53,505.38,504.46,505.11,11651,0
2026-06-08 13:30:00,505.11,505.2,505.04,505.1,9066,0
2026-06-08 13:35:00,505.1,505.18,504.2,504.34,11670,0
2026-06-08 13:40:00,504.34,504.52,503.92,504.12,3854,0
2026-06-08 13:45:00,504.12,504.33,503.55,503.61,8173,0
2026-06-08 13:50:00,503.61,503.65,503.32,503.33,3939,0
2026-06-08 13:55:00,503.33,503.33,502.99,503.0,2148,0
2026-06-08 14:00:00,503.0,503.05,502.73,502.83,3585,0
2026-06-08 14:05:00,502.83,502.85,502.23,502.36,5342,0
2026-06-08 14:10:00,502.36,503.73,502.28,503.7,4386,0
2026-06-08 14:15:00,503.7,503.81,503.17,503.26,4269,0
2026-06-08 14:20:00,503.26,503.35,502.38,502.81,5670,0
2026-06-08 14:25:00,502.81,503.15,502.77,502.99,2495,0
2026-06-08 14:30:00,502.99,503.71,502.9,503.64,11970,0
2026-06-08 14:35:00,503.64,503.69,503.3,503.44,13810,0
2026-06-08 14:40:00,503.44,503.82,503.41,503.7,2130,0
2026-06-08 14:45:00,503.7,503.94,503.62,503.75,4037,0
2026-06-08 14:50:00,503.75,503.8,503.28,503.4,16314,0
2026-06-08 14:55:00,503.4,503.62,503.24,503.25,6988,0
2026-06-08 15:00:00,503.25,503.54,503.24,503.4,14873,0
2026-06-08 15:05:00,503.4,503.82,502.53,502.91,27193,0
2026-06-08 15:10:00,502.91,504.19,502.72,503.56,26969,0
2026-06-08 15:15:00,503.56,504.04,501.58,501.7,32974,0
2026-06-08 15:20:00,501.7,501.85,499.45,499.71,13256,0
2026-06-08 15:25:00,499.71,500.35,499.33,500.27,23367,0
2026-06-08 15:30:00,500.27,501.11,500.01,500.86,20279,0
2026-06-09 09:15:00,501.63,501.89,501.57,501.88,30270,0
2026-06-09 09:20:00,501.88,502.05,501.3,501.48,20878,0
2026-06-09 09:25:00,501.48,502.18,501.12,502.04,6827,0
2026-06-09 09:30:00,502.04,502.63,501.67,502.39,17810,0
2026-06-09 09:35:00,502.39,502.8,501.62,502.16,7046,0
2026-06-09 09:40:00,502.16,502.16,500.48,500.59,27323,0
2026-06-09 09:45:00,500.59,500.63,500.18,500.37,18094,0
2026-06-09 09:50:00,500.37,500.41,500.24,500.3,19338,0
2026-06-09 09:55:00,500.3,500.55,500.21,500.39,15786,0
2026-06-09 10:00:00,500.39,500.77,500.34,500.63,6242,0
2026-06-09 10:05:00,500.63,500.73,500.04,500.17,6294,0
2026-06-09 10:10:00,500.17,500.27,499.66,499.79,4021,0
2026-06-09 10:15:00,499.79,500.42,499.79,500.28,7290,0
2026-06-09 10:20:00,500.28,500.98,500.06,500.87,6487,0
2026-06-09 10:25:00,500.87,501.0,500.41,500.8,4441,0
2026-06-09 10:30:00,500.8,500.96,500.29,500.36,6649,0
2026-06-09 10:35:00,500.36,500.47,499.7,499.88,6469,0
2026-06-09 10:40:00,499.88,500.04,499.73,499.74,9075,0
2026-06-09 10:45:00,499.74,499.74,499.15,499.29,4189,0
2026-06-09 10:50:00,499.29,499.7,499.21,499.38,13988,0
2026-06-09 10:55:00,499.38,499.5,499.35,499.43,18334,0
2026-06-09 11:00:00,499.43,499.65,498.81,499.03,6755,0
2026-06-09 11:05:00,499.03,499.13,498.05,498.09,9371,0
2026-06-09 11:10:00,498.09,498.33,497.88,498.0,3372,0
2026-06-09 11:15:00,498.0,498.52,497.87,498.34,7631,0
2026-06-09 11:20:00,498.34,498.42,497.43,497.51,16890,0
2026-06-09 11:25:00,497.51,497.54,496.92,496.98,14270,0
2026-06-09 11:30:00,496.98,497.1,496.44,496.84,15785,0
2026-06-09 11:35:00,496.84,497.54,496.72,497.42,6992,0
2026-06-09 11:40:00,497.42,497.6,497.36,497.41,3932,0
2026-06-09 11:45:00,497.41,497.64,497.17,497.57,5370,0
2026-06-09 11:50:00,497.57,497.7,497.35,497.41,9919,0
2026-06-09 11:55:00,497.41,497.8,497.16,497.69,11975,0
2026-06-09 12:00:00,497.69,497.95,497.5,497.9,17894,0
2026-06-09 12:05:00,497.9,498.54,497.76,498.52,7277,0
2026-06-09 12:10:00,498.52,498.69,498.3,498.37,12563,0
2026-06-09 12:15:00,498.37,498.66,498.12,498.59,11807,0
2026-06-09 12:20:00,498.59,498.82,497.81,498.26,5827,0
2026-06-09 12:25:00,498.26,498.43,497.99,498.03,9235,0
2026-06-09 12:30:00,498.03,498.05,497.71,497.84,8628,0
2026-06-09 12:35:00,497.84,498.13,497.69,498.07,4337,0
2026-06-09 12:40:00,498.07,498.12,497.06,497.31,9454,0
2026-06-09 12:45:00,497.31,497.79,497.01,497.74,13574,0
2026-06-09 12:50:00,497.74,497.92,497.55,497.66,11130,0
2026-06-09 12:55:00,497.66,497.76,497.4,497.59,1454,0
2026-06-09 13:00:00,497.59,497.61,497.46,497.47,4537,0
2026-06-09 13:05:00,497.47,497.74,497.46,497.68,10638,0
2026-06-09 13:10:00,497.68,498.08,497.6,497.94,5417,0
2026-06-09 13:15:00,497.94,497.98,497.47,497.5,5068,0
2026-06-09 13:20:00,497.5,497.71,497.43,497.55,23002,0
2026-06-09 13:25:00,497.55,497.77,497.31,497.63,3317,0
2026-06-09 13:30:00,497.63,497.75,496.42,496.65,21216,0
2026-06-09 13:35:00,496.65,496.89,496.59,496.87,8816,0
2026-06-09 13:40:00,496.87,496.99,496.21,496.58,10665,0
2026-06-09 13:45:00,496.58,496.84,496.38,496.55,7352,0
2026-06-09 13:50:00,496.55,496.62,496.35,496.44,17643,0
2026-06-09 13:55:00,496.44,496.8,496.36,496.73,6190,0
2026-06-09 14:00:00,496.73,496.86,496.28,496.54,4667,0
2026-06-09 14:05:00,496.54,496.89,496.32,496.32,2486,0
2026-06-09 14:10:00,496.32,496.37,496.05,496.07,8360,0
2026-06-09 14:15:00,496.07,496.11,495.86,496.05,12282,0
2026-06-09 14:20:00,496.05,496.18,495.66,495.71,5373,0
2026-06-09 14:25:00,495.71,496.04,495.7,495.91,5878,0
2026-06-09 14:30:00,495.91,496.02,494.77,495.07,12469,0
2026-06-09 14:35:00,495.07,495.23,494.42,494.69,3563,0
2026-06-09 14:40:00,494.69,494.69,494.15,494.24,5879,0
2026-06-09 14:45:00,494.24,494.27,493.85,494.04,1703,0
2026-06-09 14:50:00,494.04,494.57,494.01,494.21,5070,0
2026-06-09 14:55:00,494.21,494.4,494.19,494.33,6978,0
2026-06-09 15:00:00,494.33,494.5,494.16,494.42,9101,0
2026-06-09 15:05:00,494.42,494.52,493.96,494.04,16090,0
2026-06-09 15:10:00,494.04,495.28,494.01,495.07,35844,0
2026-06-09 15:15:00,495.07,495.64,493.95,494.27,16060,0
2026-06-09 15:20:00,494.27,494.89,493.87,494.84,5398,0
2026-06-09 15:25:00,494.84,494.87,493.64,493.77,6668,0
2026-06-09 15:30:00,493.77,494.32,493.15,493.39,15508,0
2026-06-10 09:15:00,491.36,492.61,491.09,492.53,44064,0
2026-06-10 09:20:00,492.53,492.77,490.54,490.72,33836,0
