time,open,high,low,close,volume,open_interest
2026-06-08T09:15:00+05:30,318.1,319.6,312.0,314.75,5675,0
2026-06-08T09:16:00+05:30,314.3,314.6,313.0,314.3,1501,0
2026-06-08T09:17:00+05:30,314.25,314.6,313.7,313.7,2923,0
2026-06-08T09:18:00+05:30,314.15,314.75,314.15,314.75,1040,0
2026-06-08T09:19:00+05:30,314.55,315.65,314.55,315.0,8889,0
2026-06-08T09:20:00+05:30,315.3,315.3,314.45,314.75,2513,0
2026-06-08T09:21:00+05:30,314.65,315.1,314.05,315.1,562,0
2026-06-08T09:22:00+05:30,314.85,315.8,314.05,314.6,2046,0
2026-06-08T09:23:00+05:30,314.35,314.6,313.8,314.2,3199,0
2026-06-08T09:24:00+05:30,314.15,315.2,313.85,313.85,8990,0
2026-06-08T09:25:00+05:30,314.25,314.25,313.6,313.75,2269,0
2026-06-08T09:26:00+05:30,314.0,314.35,313.65,314.3,593,0
2026-06-08T09:27:00+05:30,314.05,314.1,313.5,313.65,720,0
2026-06-08T09:28:00+05:30,313.8,313.9,313.5,313.6,194,0
2026-06-08T09:29:00+05:30,313.8,313.95,313.45,313.85,1154,0
2026-06-08T09:30:00+05:30,313.85,314.25,313.6,313.85,1090,0
2026-06-08T09:31:00+05:30,313.9,313.9,313.4,313.7,692,0
2026-06-08T09:32:00+05:30,313.4,313.7,313.05,313.4,3762,0
2026-06-08T09:33:00+05:30,313.75,313.85,313.5,313.75,143,0
2026-06-08T09:34:00+05:30,313.75,313.95,313.2,313.8,622,0
2026-06-08T09:35:00+05:30,313.5,313.75,312.75,312.75,3578,0
2026-06-08T09:36:00+05:30,312.75,313.85,312.55,313.15,11740,0
2026-06-08T09:37:00+05:30,313.15,313.4,313.0,313.0,478,0
2026-06-08T09:38:00+05:30,313.0,313.0,312.3,312.3,2754,0
2026-06-08T09:39:00+05:30,312.8,312.8,312.8,312.8,202,0
2026-06-08T09:40:00+05:30,312.8,313.8,312.8,313.8,2465,0
2026-06-08T09:41:00+05:30,313.8,313.85,313.0,313.45,1123,0
2026-06-08T09:42:00+05:30,313.0,313.25,312.85,312.95,470,0
2026-06-08T09:43:00+05:30,313.4,313.4,313.4,313.4,215,0
2026-06-08T09:44:00+05:30,313.2,313.85,313.2,313.85,2225,0
2026-06-08T09:45:00+05:30,313.85,314.2,313.85,314.15,179,0
2026-06-08T09:46:00+05:30,313.8,314.4,313.8,314.4,1852,0
2026-06-08T09:47:00+05:30,314.15,314.4,313.85,313.85,529,0
2026-06-08T09:48:00+05:30,313.8,313.85,313.2,313.75,2071,0
2026-06-08T09:49:00+05:30,313.7,313.7,313.15,313.2,494,0
2026-06-08T09:50:00+05:30,313.2,313.2,312.95,313.1,687,0
2026-06-08T09:51:00+05:30,312.8,313.25,312.8,313.15,427,0
2026-06-08T09:52:00+05:30,313.25,313.25,312.8,313.25,617,0
2026-06-08T09:53:00+05:30,313.1,313.7,313.1,313.25,886,0
2026-06-08T09:54:00+05:30,313.7,313.8,313.3,313.35,661,0
2026-06-08T09:55:00+05:30,313.7,313.75,313.2,313.2,1567,0
2026-06-08T09:56:00+05:30,313.75,314.05,313.65,313.65,414,0
2026-06-08T09:57:00+05:30,314.0,314.05,314.0,314.05,50,0
2026-06-08T09:58:00+05:30,314.05,314.5,314.05,314.5,534,0
2026-06-08T09:59:00+05:30,314.45,314.55,314.45,314.55,1399,0
2026-06-08T10:00:00+05:30,314.55,314.7,313.8,314.15,654,0
2026-06-08T10:01:00+05:30,313.8,314.1,313.8,314.1,31,0
2026-06-08T10:02:00+05:30,313.8,314.1,313.75,314.0,108,0
2026-06-08T10:03:00+05:30,314.0,314.0,314.0,314.0,300,0
2026-06-08T10:04:00+05:30,313.75,313.75,313.35,313.75,955,0
2026-06-08T10:05:00+05:30,313.4,313.7,313.4,313.7,87,0
2026-06-08T10:06:00+05:30,313.7,313.7,313.05,313.05,466,0
2026-06-08T10:07:00+05:30,313.35,314.35,313.35,314.05,554,0
2026-06-08T10:08:00+05:30,314.45,314.75,314.4,314.75,1965,0
2026-06-08T10:09:00+05:30,314.55,314.55,314.15,314.15,100,0
2026-06-08T10:10:00+05:30,314.15,314.15,314.05,314.05,2,0
2026-06-08T10:11:00+05:30,314.0,314.25,313.9,313.9,422,0
2026-06-08T10:12:00+05:30,314.2,314.2,314.2,314.2,101,0
2026-06-08T10:13:00+05:30,314.15,314.45,314.0,314.45,59,0
2026-06-08T10:14:00+05:30,314.45,314.45,314.0,314.0,268,0
2026-06-08T10:15:00+05:30,314.0,314.0,314.0,314.0,1,0
2026-06-08T10:16:00+05:30,314.2,314.2,313.9,313.9,1227,0
2026-06-08T10:17:00+05:30,313.75,313.75,313.4,313.4,298,0
2026-06-08T10:18:00+05:30,313.85,313.95,313.85,313.95,325,0
2026-06-08T10:19:00+05:30,313.85,313.95,313.8,313.8,145,0
2026-06-08T10:20:00+05:30,313.8,313.8,313.8,313.8,15,0
2026-06-08T10:21:00+05:30,313.85,314.2,313.85,314.2,45,0
2026-06-08T10:22:00+05:30,313.85,314.1,313.8,313.8,387,0
2026-06-08T10:23:00+05:30,313.8,314.35,313.8,313.85,348,0
2026-06-08T10:24:00+05:30,313.85,313.85,313.8,313.8,400,0
2026-06-08T10:25:00+05:30,314.15,314.15,313.65,313.95,1063,0
2026-06-08T10:26:00+05:30,313.6,313.95,313.5,313.85,539,0
2026-06-08T10:27:00+05:30,313.85,313.95,313.55,313.55,171,0
2026-06-08T10:28:00+05:30,313.5,313.8,313.3,313.8,250,0
2026-06-08T10:29:00+05:30,313.65,313.65,313.5,313.5,2,0
2026-06-08T10:31:00+05:30,313.5,313.5,313.3,313.3,250,0
2026-06-08T10:32:00+05:30,313.65,313.85,313.5,313.5,46,0
2026-06-08T10:33:00+05:30,313.85,314.0,313.85,314.0,112,0
2026-06-08T10:34:00+05:30,314.15,314.2,314.15,314.2,139,0
2026-06-08T10:35:00+05:30,314.15,314.5,314.15,314.5,605,0
2026-06-08T10:36:00+05:30,314.5,314.5,314.5,314.5,1,0
2026-06-08T10:37:00+05:30,314.5,314.5,314.5,314.5,32,0
2026-06-08T10:38:00+05:30,314.5,314.7,314.5,314.7,847,0
2026-06-08T10:39:00+05:30,314.5,314.75,314.3,314.75,77,0
2026-06-08T10:40:00+05:30,314.75,314.8,314.75,314.8,573,0
2026-06-08T10:42:00+05:30,314.75,315.0,314.75,315.0,245,0
2026-06-08T10:43:00+05:30,315.3,315.65,315.1,315.1,533,0
2026-06-08T10:44:00+05:30,314.85,314.85,314.6,314.6,500,0
2026-06-08T10:45:00+05:30,314.55,314.6,314.2,314.6,523,0
2026-06-08T10:46:00+05:30,314.3,314.55,314.2,314.55,151,0
2026-06-08T10:47:00+05:30,314.25,314.6,314.25,314.6,439,0
2026-06-08T10:48:00+05:30,314.35,314.6,314.2,314.6,502,0
2026-06-08T10:51:00+05:30,314.3,314.3,314.2,314.2,90,0
2026-06-08T10:52:00+05:30,314.6,314.6,314.25,314.25,103,0
2026-06-08T10:53:00+05:30,314.6,314.6,314.6,314.6,1,0
2026-06-08T10:54:00+05:30,314.6,314.6,314.2,314.2,276,0
2026-06-08T10:56:00+05:30,314.2,314.4,314.2,314.4,612,0
2026-06-08T10:57:00+05:30,314.05,314.4,314.0,314.15,427,0
2026-06-08T10:58:00+05:30,314.15,314.15,314.15,314.15,64,0
2026-06-08T11:00:00+05:30,314.15,314.15,314.15,314.15,611,0
